Decision,Soil.Type,Soil.Colour,Geological.Features,Elevation,Natural.vegetation..tree..vigour,Natural.vegetation..tree..height,Drainage.Density
Low Potential,Clay,Dark,Limestone,Gentle,Low,Tall,Medium
Low Potential,Sand,Light,Limestone,Steep,Medium,Tall,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
Low Potential,Sand,Dark,Limestone,Steep,Medium,Tall,Medium
High Potential,Loam,Light,Granite,Gentle,Medium,Medium,Low
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
High Potential,Clay,Light,Granite,Moderate,Low,Medium,Medium
Low Potential,Sand,Light,Limestone,Moderate,Medium,Tall,Medium
Low Potential,Sand,Light,Limestone,Steep,Low,Tall,Low
High Potential,Clay,Light,Granite,Gentle,Medium,Medium,Low
High Potential,Sand,Dark,Granite,Moderate,High,Short,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Loam,Dark,Granite,Moderate,Medium,Short,Low
Low Potential,Clay,Light,Limestone,Moderate,Low,Tall,Medium
High Potential,Clay,Dark,Granite,Gentle,High,Short,Low
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
High Potential,Clay,Light,Granite,Gentle,Medium,Medium,Low
Low Potential,Loam,Light,Limestone,Steep,Low,Medium,Medium
Low Potential,Clay,Dark,Limestone,Moderate,Low,Medium,Medium
Low Potential,Loam,Dark,Limestone,Steep,Low,Tall,Medium
High Potential,Sand,Light,Limestone,Gentle,Low,Short,Medium
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,High
Low Potential,Sand,Dark,Limestone,Gentle,Low,Tall,Low
High Potential,Sand,Light,Granite,Gentle,High,Short,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Short,Low
Low Potential,Sand,Dark,Granite,Steep,High,Tall,High
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Loam,Dark,Granite,Moderate,Medium,Short,Low
Low Potential,Loam,Light,Granite,Steep,Low,Tall,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Loam,Light,Granite,moderate,Low,Medium,Low
Low Potential,Clay,Light,Limestone,Steep,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Clay,Light,Limestone,Moderate,High,Short,Low
